Date;Dernier
08/08/2014;1690.57
11/08/2014;1701.61
12/08/2014;1699.35
13/08/2014;1708.74
14/08/2014;1715.71
15/08/2014;1714.24
18/08/2014;1727.38
19/08/2014;1734.87
20/08/2014;1735.79
21/08/2014;1741.88
22/08/2014;1735.94
25/08/2014;1745.24
26/08/2014;1749.14
27/08/2014;1750.68
28/08/2014;1744.35
29/08/2014;1748.67
01/09/2014;1748.31
02/09/2014;1747.2
03/09/2014;1751.97
04/09/2014;1748.59
05/09/2014;1750.61
08/09/2014;1744.28
09/09/2014;1733.21
10/09/2014;1735.79
11/09/2014;1736.99
12/09/2014;1729.5
15/09/2014;1726.86
16/09/2014;1732.55
17/09/2014;1735.35
18/09/2014;1742.74
19/09/2014;1740.32
22/09/2014;1726.47
23/09/2014;1716.23
24/09/2014;1723.67
25/09/2014;1703.09
26/09/2014;1707.87
29/09/2014;1702.18
30/09/2014;1698.41
01/10/2014;1679.18
02/10/2014;1667.98
03/10/2014;1675.29
06/10/2014;1679.82
07/10/2014;1661.36
08/10/2014;1673.48
09/10/2014;1652.93
10/10/2014;1626.68
13/10/2014;1613.61
14/10/2014;1610.74
15/10/2014;1595.21
16/10/2014;1592.6
17/10/2014;1613.56
20/10/2014;1626.05
21/10/2014;1651.14
22/10/2014;1647.21
23/10/2014;1659.97
24/10/2014;1667.88
27/10/2014;1666.82
28/10/2014;1684.54
29/10/2014;1686.35
30/10/2014;1689.22
31/10/2014;1708.09
03/11/2014;1699.09
04/11/2014;1698.22
05/11/2014;1706.51
06/11/2014;1707.53
07/11/2014;1707.01
10/11/2014;1714.6
11/11/2014;1716.83
12/11/2014;1715.03
13/11/2014;1716.24
14/11/2014;1717.2
17/11/2014;1714.97
18/11/2014;1728.23
19/11/2014;1724.73
20/11/2014;1725.47
21/11/2014;1737.24
24/11/2014;1740.09
25/11/2014;1742.82
26/11/2014;1748
27/11/2014;1744.71
28/11/2014;1739.5
01/12/2014;1729.89
02/12/2014;1735.99
03/12/2014;1739.73
04/12/2014;1736.63
05/12/2014;1738.52
08/12/2014;1726.47
09/12/2014;1721.97
10/12/2014;1698.43
11/12/2014;1699.05
12/12/2014;1675.04
15/12/2014;1654.56
16/12/2014;1655.52
17/12/2014;1672.48
18/12/2014;1706.33
19/12/2014;1717
22/12/2014;1723.26
23/12/2014;1724.1
24/12/2014;1726.23
25/12/2014;1725.79
26/12/2014;1729.42
29/12/2014;1731.71
30/12/2014;1721.01
31/12/2014;1709.67
01/01/2015;1709.68
02/01/2015;1704.71
05/01/2015;1671.25
06/01/2015;1654.38
07/01/2015;1662.22
08/01/2015;1694.17
09/01/2015;1683.8
12/01/2015;1676.71
13/01/2015;1678.19
14/01/2015;1665.38
15/01/2015;1662.44
16/01/2015;1675.15
19/01/2015;1681.9
20/01/2015;1685.27
21/01/2015;1694.34
22/01/2015;1710.47
23/01/2015;1707.74
26/01/2015;1712.55
27/01/2015;1705.6
28/01/2015;1689.2
29/01/2015;1693.81
30/01/2015;1677.54
02/02/2015;1694.35
03/02/2015;1715.22
04/02/2015;1715.13
05/02/2015;1727.49
06/02/2015;1720.55
09/02/2015;1714.23
10/02/2015;1725.83
11/02/2015;1721.58
12/02/2015;1741.22
13/02/2015;1752.18
16/02/2015;1752.91
17/02/2015;1754.8
18/02/2015;1759.04
19/02/2015;1760.8
20/02/2015;1768.09
23/02/2015;1770.35
24/02/2015;1774.92
25/02/2015;1776.86
26/02/2015;1773.99
27/02/2015;1772.86
02/03/2015;1776.65
03/03/2015;1768.57
04/03/2015;1760.91
05/03/2015;1763.74
06/03/2015;1741.99
09/03/2015;1741.84
10/03/2015;1712.55
11/03/2015;1710.79
12/03/2015;1728.62
13/03/2015;1719.82
16/03/2015;1740.09
17/03/2015;1736.63
18/03/2015;1754.1
19/03/2015;1751.31
20/03/2015;1774.57
23/03/2015;1778
24/03/2015;1772.41
25/03/2015;1756.48
26/03/2015;1744.9
27/03/2015;1744.82
30/03/2015;1757.31
31/03/2015;1740.81
01/04/2015;1738.15
02/04/2015;1749.34
03/04/2015;1750.26
06/04/2015;1764.49
07/04/2015;1764.24
08/04/2015;1766.44
09/04/2015;1771.86
10/04/2015;1779.47
13/04/2015;1772.08
14/04/2015;1779.85
15/04/2015;1783.79
16/04/2015;1786.58
17/04/2015;1769.01
20/04/2015;1779.12
21/04/2015;1781.95
22/04/2015;1786.77
23/04/2015;1792.31
24/04/2015;1799.86
27/04/2015;1801.57
28/04/2015;1803.39
29/04/2015;1795.87
30/04/2015;1778.4
01/05/2015;1787.4
04/05/2015;1790.83
05/05/2015;1773.42
06/05/2015;1772.82
07/05/2015;1769.25
