Maturite;spot_2015;up_2015;down_2015;spot_2016;up_2016;down_2016;spot_2017;up_2017;down_2017;spot_2018;up_2018;down_2018
117;0,03623;0,04623;0,02898;0,03533;0,04533;0,02826;0,03588;0,04588;0,0287;0,0345;0,0445;0,0276
118;0,03628;0,04628;0,02902;0,03539;0,04539;0,02831;0,03593;0,04593;0,02874;0,03456;0,04456;0,02765
119;0,03633;0,04633;0,02906;0,03545;0,04545;0,02836;0,03598;0,04598;0,02878;0,03461;0,04461;0,02769
120;0,03637;0,04637;0,0291;0,0355;0,0455;0,0284;0,03603;0,04603;0,02882;0,03465;0,04465;0,02772
121;0,03642;0,04642;0,02914;0,03555;0,04555;0,02844;0,03608;0,04608;0,02886;0,0347;0,0447;0,02776
122;0,03647;0,04647;0,02918;0,03561;0,04561;0,02849;0,03613;0,04613;0,0289;0,03475;0,04475;0,0278
123;0,03651;0,04651;0,02921;0,03566;0,04566;0,02853;0,03618;0,04618;0,02894;0,0348;0,0448;0,02784
124;0,03656;0,04656;0,02925;0,03571;0,04571;0,02857;0,03622;0,04622;0,02898;0,03484;0,04484;0,02787
125;0,0366;0,0466;0,02928;0,03576;0,04576;0,02861;0,03627;0,04627;0,02902;0,03489;0,04489;0,02791
126;0,03664;0,04664;0,02931;0,03581;0,04581;0,02865;0,03631;0,04631;0,02905;0,03493;0,04493;0,02794
127;0,03668;0,04668;0,02934;0,03586;0,04586;0,02869;0,03636;0,04636;0,02909;0,03498;0,04498;0,02798
128;0,03672;0,04672;0,02938;0,03591;0,04591;0,02873;0,0364;0,0464;0,02912;0,03502;0,04502;0,02802
129;0,03677;0,04677;0,02942;0,03595;0,04595;0,02876;0,03645;0,04645;0,02916;0,03506;0,04506;0,02805
130;0,03681;0,04681;0,02945;0,036;0,046;0,0288;0,03649;0,04649;0,02919;0,0351;0,0451;0,02808
131;0,03685;0,04685;0,02948;0,03605;0,04605;0,02884;0,03653;0,04653;0,02922;0,03514;0,04514;0,02811
132;0,03688;0,04688;0,0295;0,03609;0,04609;0,02887;0,03657;0,04657;0,02926;0,03518;0,04518;0,02814
133;0,03692;0,04692;0,02954;0,03613;0,04613;0,0289;0,03661;0,04661;0,02929;0,03522;0,04522;0,02818
134;0,03696;0,04696;0,02957;0,03618;0,04618;0,02894;0,03665;0,04665;0,02932;0,03526;0,04526;0,02821
135;0,037;0,047;0,0296;0,03622;0,04622;0,02898;0,03669;0,04669;0,02935;0,0353;0,0453;0,02824
136;0,03703;0,04703;0,02962;0,03626;0,04626;0,02901;0,03673;0,04673;0,02938;0,03534;0,04534;0,02827
137;0,03707;0,04707;0,02966;0,03631;0,04631;0,02905;0,03677;0,04677;0,02942;0,03538;0,04538;0,0283
138;0,03711;0,04711;0,02969;0,03635;0,04635;0,02908;0,03681;0,04681;0,02945;0,03541;0,04541;0,02833
139;0,03714;0,04714;0,02971;0,03639;0,04639;0,02911;0,03684;0,04684;0,02947;0,03545;0,04545;0,02836
140;0,03718;0,04718;0,02974;0,03643;0,04643;0,02914;0,03688;0,04688;0,0295;0,03549;0,04549;0,02839
141;0,03721;0,04721;0,02977;0,03647;0,04647;0,02918;0,03692;0,04692;0,02954;0,03552;0,04552;0,02842
142;0,03724;0,04724;0,02979;0,03651;0,04651;0,02921;0,03695;0,04695;0,02956;0,03556;0,04556;0,02845
143;0,03728;0,04728;0,02982;0,03654;0,04654;0,02923;0,03699;0,04699;0,02959;0,03559;0,04559;0,02847
144;0,03731;0,04731;0,02985;0,03658;0,04658;0,02926;0,03702;0,04702;0,02962;0,03563;0,04563;0,0285
145;0,03734;0,04734;0,02987;0,03662;0,04662;0,0293;0,03706;0,04706;0,02965;0,03566;0,04566;0,02853
146;0,03737;0,04737;0,0299;0,03666;0,04666;0,02933;0,03709;0,04709;0,02967;0,03569;0,04569;0,02855
147;0,03741;0,04741;0,02993;0,03669;0,04669;0,02935;0,03712;0,04712;0,0297;0,03573;0,04573;0,02858
148;0,03744;0,04744;0,02995;0,03673;0,04673;0,02938;0,03716;0,04716;0,02973;0,03576;0,04576;0,02861
149;0,03747;0,04747;0,02998;0,03676;0,04676;0,02941;0,03719;0,04719;0,02975;0,03579;0,04579;0,02863
150;0,0375;0,0475;0,03;0,0368;0,0468;0,02944;0,03722;0,04722;0,02978;0,03582;0,04582;0,02866
